INTENT NAME;PARENT'S INTENT;IS PARENT?;;it
Default Fallback Intent;;;answer;Non ho capito.
;;;;
avere-caldo;;;user-input;Che caldo!
avere-caldo;;;user-input;Si muore di caldo
avere-caldo;;;user-input;Che caldo!
avere-caldo;;;user-input;Mamma ho caldo
avere-caldo;;;user-input;Che caldo!
avere-caldo;;;user-input;Che caldo!
avere-caldo;;;user-input;Fa troppo caldo in questa stanza
avere-caldo;;;user-input;ho caldo
avere-caldo;;;user-input;Che caldo
avere-caldo;;;user-input;Che caldo!
avere-caldo;;;user-input;Ho caldo
avere-caldo;;;user-input;si muore di caldo
avere-caldo;;;user-input;Si muore di caldo
avere-caldo;;;user-input;ho caldo
avere-caldo;;;user-input;Ho caldo 
avere-caldo;;;user-input;Fa molto caldo
avere-caldo;;;user-input;Che caldo!
avere-caldo;;;user-input;Sto sudando
avere-caldo;;;user-input;Che afa
avere-caldo;;;user-input;Fa caldissimo!
avere-caldo;;;user-input;Papà fa molto caldo
avere-caldo;;;user-input;Sto morendo di caldo
avere-caldo;;;user-input;C'è molto calore.
avere-caldo;;;user-input;Oggi fa molto caldo
avere-caldo;;;user-input;la temperatura oggi è troppo alta
avere-caldo;;;user-input;Che afa
avere-caldo;;;user-input;Mi sto sciogliendo
avere-caldo;;;user-input;La temperatura è alta
avere-caldo;;;user-input;sembra di essere ai tropici
avere-caldo;;;user-input;C'è afa
avere-caldo;;;user-input;che afa
avere-caldo;;;user-input;Sto svenendo dal caldo 
avere-caldo;;;user-input;Percepisco una temperatura elevata
avere-caldo;;;user-input;Oggi si muore!
avere-caldo;;;user-input;Non si respira con questo caldo
avere-caldo;;;user-input;Ci saranno quaranta gradi fuori
avere-caldo;;;user-input;Troppo caldo, oggi!
avere-caldo;;;user-input;Ceci ho caldo
avere-caldo;;;user-input;Si soffoca!
avere-caldo;;;user-input;Oggi la temperatura è molto alta.
avere-caldo;;;user-input;Solo io ho caldo?
avere-caldo;;;user-input;sto sudando eppure sono qui seduto
avere-caldo;;;user-input;Minchia è un forno qua dentro
avere-caldo;;;user-input;Sto sudando troppo
avere-caldo;;;user-input;Mi sembra di essere nel deserto
avere-caldo;;;user-input;sto sudando come un porco
avere-caldo;;;user-input;Non si respira 
avere-caldo;;;user-input;si muore qui!
avere-caldo;;;user-input;Sto Sudando 
avere-caldo;;;user-input;Questa stanza è torrida
avere-caldo;;;user-input;Non si respira!
avere-caldo;;;user-input;C'è afa
avere-caldo;;;user-input;Quest'estate è particolarmente torrida
avere-caldo;;;user-input;Senti che caldo?
avere-caldo;;;user-input;Zia ho caldo
avere-caldo;;;user-input;Ci vorrebbe un po' d'aria
avere-caldo;;;user-input;Questo caldo mi sfianca.
avere-caldo;;;user-input;Sto morendo di caldo
avere-caldo;;;user-input;il calore qui oggi è insopportabile
avere-caldo;;;user-input;Mi sto sciogliendo qua
avere-caldo;;;user-input;Ho bisogno di una doccia
avere-caldo;;;user-input;Questa stanza sembra un forno
avere-caldo;;;user-input;sto facendo una sauna
avere-caldo;;;user-input;Sto sudando
avere-caldo;;;user-input;è un forno sta stanza
avere-caldo;;;user-input;Si soffoca dal caldo 
avere-caldo;;;user-input;Mi sento accaldato
avere-caldo;;;user-input;Che afa!
avere-caldo;;;user-input;Ogni fa troppo caldo
avere-caldo;;;user-input;Il sole oggi è incandescente
avere-caldo;;;user-input;Che caldo, quanti gradi saranno?
avere-caldo;;;user-input;Mimmo fa caldo
avere-caldo;;;user-input;Sembra di essere nel deserto
avere-caldo;;;user-input;Oggi non respiro dal caldo.
avere-caldo;;;user-input;Fa troppo caldo, mi sto sciogliendo
avere-caldo;;;user-input;Non senti anche tu il caldo di questa giornata?
avere-caldo;;;user-input;Fa troppo caldo qua
avere-caldo;;;user-input;È proprio arrivata l'estate
avere-caldo;;;user-input;Sto sudando moltissimo
avere-caldo;;;user-input;non c'è un filo d'aria
avere-caldo;;;user-input;Sto cuocendo 
avere-caldo;;;user-input;ci saranno 500 gradi qui dentro
avere-caldo;;;user-input;Quest' afa mi uccide
avere-caldo;;;user-input;La stanza è calda
avere-caldo;;;user-input;Grondo sudore!
;;;;
insetto;;;user-input;Che schifo, un insetto!
insetto;;;user-input;Oddio c'è un insetto
insetto;;;user-input;Oddio, c'è un insetto!
insetto;;;user-input;Papà c'è un insetto enorme nella stanza
insetto;;;user-input;Che schifo, un insetto!
insetto;;;user-input;C'è un insetto in camera.
insetto;;;user-input;Guarda un ragno!
insetto;;;user-input;E'appena entrata una vespa
insetto;;;user-input;Cos'è quello?
insetto;;;user-input;C'é un insetto gigante!
insetto;;;user-input;C'è un insetto
insetto;;;user-input;è entrato un insetto
insetto;;;user-input;Oddio c'è un animale! 
insetto;;;user-input;che schifo una bestia alata
insetto;;;user-input;Alfred, c'è un insetto
insetto;;;user-input;Vedo un insetto 
insetto;;;user-input;Da dove è entrato?
insetto;;;user-input;Aiutami a far uscire questo insetto
insetto;;;user-input;Aiuto c'è una cimice sul muro
insetto;;;user-input;C'è un insetto!
insetto;;;user-input;Oddio mamma c'è un insetto
insetto;;;user-input;C'è un insetto sul muro
insetto;;;user-input;Che schifo, è entrato un insetto.
insetto;;;user-input;Occhio che c'è una bestia che gira
insetto;;;user-input;Hai un calabrone sulla spalla
insetto;;;user-input;Un insetto!
insetto;;;user-input;Aprite le finestre che c'è un insetto
insetto;;;user-input;Sento un ronzio
insetto;;;user-input;sento un ronzio
insetto;;;user-input;C'è un insetto che mi ronza intorno! 
insetto;;;user-input;un insetto aiuto
insetto;;;user-input;Che schifo, un insetto
insetto;;;user-input;Un insetto è entrato in casa
insetto;;;user-input;Servirebbe qualcosa per schiacciarlo.
insetto;;;user-input;Prendi un giornale, è entrato un insetto
insetto;;;user-input;Sono terrorizzata dall'ape che è appena entrata
insetto;;;user-input;Aspetta, c'è un insetto!
insetto;;;user-input;C'è un insetto dove sono io
insetto;;;user-input;Vado a prendere l'ammazzamosche
insetto;;;user-input;Chissà da dove è entrato l'insetto.
insetto;;;user-input;Vado a prendere l'insetticida perchè è entrato un insetto
insetto;;;user-input;Questa mosca che mi ronza nelle orecchie è insopportabile
insetto;;;user-input;Che è quel coso?
insetto;;;user-input;Dicono porti fortuna quell'insetto
insetto;;;user-input;Qualcosa mi ha punto
insetto;;;user-input;odio le zanzare
insetto;;;user-input;C'è un insetto sul divano! 
insetto;;;user-input;ci mancava che entrasse un insetto
insetto;;;user-input;C'è un insetto fastidioso che mi gira intorno
insetto;;;user-input;Che orrore, un insetto!
insetto;;;user-input;Forse dovrei metterlo in salvo.
insetto;;;user-input;Oddio è entrato un insetto
insetto;;;user-input;è entrata una bestia in casa
insetto;;;user-input;Che schifo, cos'è quel coso?
insetto;;;user-input;Mamma c'è un insetto qui
insetto;;;user-input;È entrato un insetto
insetto;;;user-input;Voglio uscire, perché c'è un insetto.
insetto;;;user-input;Ho paura sia entrata una bestia dalla finestra
insetto;;;user-input;Questa zanzara che gira attorno mi ha appena punto
insetto;;;user-input;È un insetto quello?
insetto;;;user-input;Attenti a non calpestare l'insetto
insetto;;;user-input;Odio gli insetti
insetto;;;user-input;potrei essere punto
insetto;;;user-input;C'è un insetto che vola! 
insetto;;;user-input;oddio che è quel robo con le zampe
insetto;;;user-input;Alfred, quell'oliva si muove
insetto;;;user-input;C’è un insetto
insetto;;;user-input;Che schifo!
insetto;;;user-input;Apri la finestra che c'è un insetto
insetto;;;user-input;Prendi la paletta, è entrata una mosca
insetto;;;user-input;Uffa c'è un insetto!
insetto;;;user-input;Aiuto c'è un insetto
insetto;;;user-input;Cos'è quel coso che vola?
insetto;;;user-input;Che spavento, c'è un insetto!
insetto;;;user-input;C'è una brutta bestia che cammina sul muro
insetto;;;user-input;Nella stanza c'e un calabrone
insetto;;;user-input;Un bestio!
insetto;;;user-input;Ma che insetto é quello?
insetto;;;user-input;Aiuto un insetto
insetto;;;user-input;ci sarà un nido di vespe qui fuori
insetto;;;user-input;C'è una bestiaccia! 
insetto;;;user-input;che schifo odio gli insetti
insetto;;;user-input;C'è un insetto, Alfred passami un giornale 
insetto;;;user-input;Sbaglio o quello è un insetto?
insetto;;;user-input;Ci mancava solo questa!
;;;;
piante;;;user-input;Mi passi l'annaffiatoio
piante;;;user-input;Le piante mi sembrano un po' secche
piante;;;user-input;Le piante sono secche
piante;;;user-input;Mamma bisogna annaffiare le piante, la terra è secca
piante;;;user-input;Vanno annaffiate le piante
piante;;;user-input;Le piante hanno sete.
piante;;;user-input;Secondo te le piante hanno bisogno di essere bagnate?
piante;;;user-input;Le piante del terrazzo hanno sete
piante;;;user-input;Uh le piante sono secche
piante;;;user-input;Quelle piante sono secche
piante;;;user-input;Le piante stanno seccando
piante;;;user-input;le piante sembrano secche
piante;;;user-input;Ci sono le piante che hanno sete
piante;;;user-input;povere piantine sembrano sciupate
piante;;;user-input;Alfred, bisogna dare dell'acqua alle piante 
piante;;;user-input;Credo che le piante necessitino l’acqua
piante;;;user-input;Sembrano un pò giù.
piante;;;user-input;Non dimentichiamoci di bagnare le piante
piante;;;user-input;Annaffi tu le piante o lo faccio io?
piante;;;user-input;Dobbiamo dar da bere alle piante
piante;;;user-input;Farò bene ad annaffiare quelle piante
piante;;;user-input;Le piante stanno morendo
piante;;;user-input;Penso che le piante abbiano bisogno d'acqua.
piante;;;user-input;Mi sa che mi sono dimenticata di bagnare le piante ieri
piante;;;user-input;Bisogna che diamo dell'acqua alle piante
piante;;;user-input;Stanno seccando le piante fuori?
piante;;;user-input;È ancora presto per bagnare le piante
piante;;;user-input;Speriamo piova
piante;;;user-input;se non inizia a piovere, dovremo bagnare le piante
piante;;;user-input;Bisogna bagnare le piante
piante;;;user-input;è un po' che non piove, le piante saranno assetate
piante;;;user-input;Le piante stanno soffrendo
piante;;;user-input;Spero che le piante non siano seccate. Non sarebbe opportuno bagnarle?
piante;;;user-input;Ancora un pò e saranno da buttare.
piante;;;user-input;Ci sono le piante da bagnare
piante;;;user-input;Hai già bagnato le piante?
piante;;;user-input;Bisogna bagnare le piante
piante;;;user-input;È meglio annaffiare le piante secche
piante;;;user-input;Bisogna dare l'acqua alle piante
piante;;;user-input;Vedo che le piante sono da bagnare.
piante;;;user-input;Pensi sia un errore bagnare le piante ora che c'è ancora il sole?
piante;;;user-input;La terra dei vasi fuori è troppo asciutta
piante;;;user-input;Cavolo vanno bagnate le piante
piante;;;user-input;Le piante hanno sete
piante;;;user-input;L'anno prossimo compro solo piante grasse che sono meno impegnative
piante;;;user-input;se non bagniamo subito le piante, moriranno
piante;;;user-input;Le piante stanno patendo il caldo 
piante;;;user-input;la terra delle piante sembra un po' secca
piante;;;user-input;Se non diamo dell'acqua alle piante, moriranno
piante;;;user-input;Vedo le piante fuori disidratate
piante;;;user-input;Forse dovrei fare qualcosa.
piante;;;user-input;La terra di quelle piante è secca
piante;;;user-input;Dov'è l'innaffiatoio, è ora di annaffiare le piante
piante;;;user-input;Le piante non hanno acqua
piante;;;user-input;Devo annaffiare le piante assolutamente
piante;;;user-input;La terra delle piante è secca
piante;;;user-input;Bisogna annaffiare le piante.
piante;;;user-input;Forse dovrei bagnare le piante
piante;;;user-input;Bisogna innaffiare i geranei
piante;;;user-input;Devo bagnare le piante
piante;;;user-input;É stata una giornata afosa oggi devo bagnare le piante
piante;;;user-input;La terra dei vasi è arida
piante;;;user-input;con questo caldo le piante hanno bisogno di molta acqua
piante;;;user-input;La terra delle piante è secca 
piante;;;user-input;mi son dimenticata di innaffiare i fiori
piante;;;user-input;Alfred, le piante mi sembrano secche
piante;;;user-input;A meno che non piova, bisognerà bagnare le piante
piante;;;user-input;Non sembrano molto in forma.
piante;;;user-input;Quelle piante hanno sete
piante;;;user-input;Bisogna bagnare le piante
piante;;;user-input;Dobbiamo dare un po' d'acqua alle piante
piante;;;user-input;C'è bisogno di annaffiare le piante fuori
piante;;;user-input;Mi serve l'annaffiatoio
piante;;;user-input;Nessuno ha annaffiato le piante.
piante;;;user-input;Mi daresti una mano a bagnare le piante in giardino?
piante;;;user-input;Le piante stanno appassendo per la mancanza d'acqua
